file	fac1	fac2	fac3	fac4	fac5	fac6
t000000	1	8	0	3	0	3
t000001	0	1	0	0	0	0
t000002	11	11	-1	5	-7	0
t000003	1	3	0	0	-2	0
t000004	4	2	0	0	-1	0
t000006	7	1	0	0	0	0
t000007	0	0	0	0	0	-1
t000008	0	0	0	0	0	-2
t000009	0	1	0	0	0	-1
t000011	1	3	0	0	-3	-1
t000012	0	3	0	0	0	0
t000013	-1	1	0	2	0	0
t000014	0	0	0	0	0	0
t000015	0	1	0	2	0	0
t000016	0	0	0	0	0	0
t000017	0	0	0	0	0	0
t000018	0	0	0	0	0	0
t000019	1	0	1	0	0	0
t000020	1	0	0	0	0	0
t000021	0	0	0	0	0	0
t000022	0	1	0	0	0	0
t000023	3	1	1	2	0	0
t000024	4	1	0	3	1	0
t000025	0	5	0	1	0	0
t000026	0	1	0	0	0	0
t000027	0	0	0	0	0	0
t000028	0	0	0	0	0	0
t000029	0	1	0	0	0	0
t000030	0	0	0	0	0	0
t000031	0	0	0	0	0	0
t000032	2	1	0	0	0	1
t000033	0	0	0	1	-3	0
t000034	2	2	0	0	0	0
t000035	0	1	0	0	0	0
t000036	1	2	0	0	0	0
t000037	1	2	0	0	0	0
t000039	1	1	0	0	0	0
t000040	3	5	0	0	-2	0
t000041	4	2	0	1	0	0
t000042	0	4	0	0	0	0
t000043	0	1	0	0	0	0
t000044	1	1	0	0	0	0
t000045	0	0	0	0	0	0
t000046	0	0	0	1	0	0
t000048	0	11	0	1	0	0
t000049	2	0	0	0	0	0
t000050	6	2	0	1	0	1
t000051	0	4	0	0	-1	0
t000052	9	7	0	1	0	0
t000053	2	0	0	0	0	0
t000054	0	-2	0	0	0	0
t000055	2	0	0	0	-1	0
t000056	0	4	0	0	0	0
t000057	1	1	0	0	0	0
t000058	2	1	0	1	0	0
t000059	0	1	0	0	0	0
t000060	0	1	0	0	0	0
t000061	0	0	0	0	0	0
t000062	0	3	0	0	0	0
t000063	1	1	0	0	0	0
t000065	2	0	0	0	0	0
t000066	1	2	0	0	0	0
t000067	0	0	0	0	0	0
t000068	2	2	0	0	0	0
t000069	-1	1	0	0	1	0
t000070	3	0	0	0	0	2
t000071	0	0	0	0	0	0
t000072	2	0	0	1	0	0
t000073	0	0	0	0	0	0
t000074	4	0	0	0	0	0
t000075	1	0	0	0	0	0
t000076	0	0	0	0	0	0
t000077	0	3	0	1	-1	2
t000078	0	0	0	0	0	0
t000079	1	0	0	0	0	0
t000080	1	0	0	0	0	0
t000081	2	0	0	0	0	0
t000082	2	0	0	1	0	0
t000083	0	0	0	0	0	0
t000084	0	2	0	0	0	0
t000085	0	1	0	0	0	0
t000086	1	3	0	0	0	0
t000087	1	1	0	0	0	0
t000088	3	3	0	0	0	0
t000089	0	1	0	0	0	0
t000090	0	1	0	0	0	0
t000091	1	0	0	0	0	0
t000092	4	7	0	3	-1	0
t000093	8	1	0	1	1	0
t000094	19	16	0	2	0	5
t000095	0	3	0	1	0	1
t000096	0	0	0	0	0	0
t000097	0	1	0	1	0	0
t000098	6	0	0	0	0	0
t000099	2	0	0	0	0	0
t000100	1	1	0	0	0	0
t000101	1	0	0	0	0	0
